<label>|<Sentence Text>|<Always deliberative>|<Non IIA>|<Sentiment>|<Subjectivity>
D0|column 1.|||-0.793276429|0.000574674
|||||
D0|Col 2.|||-0.653063476|0.018571518
|||||
D0|Col. 3|||0.934841514|0.012357523
|||||
D1|Col 4 Summary of Proposals that Target Marriage Penalties and Stay-at-Home Parents Proposal Preliminary Cost Description|||0.908273399|0.94170266
D1|Brief Comments Marriage penalty proposals that might affect stay-at-home parenls Single Filer Option (H.R. 2456) $22 billion oo year (in 1999 income levels)|||-0.915042758|0.9293899
D1|Married couples could continue to file a joint return, or elect to file two separate  returns as if each were a single individual.|||-0.995345175|5.60E-09
D1|On separate returns, each spouse would report their own earnings.|||-0.982681453|0.000649663
D1|Unearned income could be reallocated by shifting assets.|||-0.993998528|0.9937411
D1|Rules specify how deductions, exemptions,  and  credits split.|||-0.916960239|0.98237807
D1|Would significantly reduce marriage penalties, but would also increase some marriage bonuses.|||0.797589481|0.01216633
D1|Provides only limited or even no benefit to stay-at-home parents.|||-0.999171257|0.98079693
D1|Would substantially increase filing burdens.|||0.892165363|0.99559975
D1|Income Splitting (Ashcroft and others) $36 billion oo year (in 1999 income levels)|||-0.979545236|0.13699478
D1|Single filing, with half of a couple's income, including earned income, attributed to each spouse.|||-0.996887863|0.22628829
D1|Would significantly reduce marriage penalties, but also greatly increase marriage bonuses.|||0.967948854|0.01689644
D1|Would help stay-at-home parents.|||0.966905355|5.76E-05
D1|Adds some complexity to filing.|||0.999426126|0.99829036
D1|Make Joint Tax Parameters Double Singles Roughly $36 billion per year (in 1999 income levels)|||-0.995828927|0.9978002
D1|The standard deduction and rate brackets for joint filers would be made twice the corresponding amounts for single filers. .|||-0.99868542|0.99986446
D1|Basically equivalent results to income splitting, but much simpler since no additional computations are required.|||0.993267953|0.9999758
D1|Two-Earner Deduction $12 billion 00 year (in 1999 income levels) Couples with two earners would be allowed a deduction for 10 percent of the first $30,000 of the earnings of the lower-earning spouse.|||-0.99152714|0.06655509
|||||
D1|Would reduce marriage penalties signi ficantly , but would also increase some marriage bonuses and convert some penalties into bonuses.|||-0.671441674|0.52585703
D1|Provides no benefits to stay-at-home parents.|||-0.998448968|0.25376186
|||||
D1|These are preliminary  estimates,  could presumibly grow in the out-year .|||-0.916547835|0.05500441
|||||
D1|This can be dialed down, by reducing single filer parameters to half th current Joint parameters, though doing so would hurt single taxpayers at the expense of married taxpa ers with two earners.|||0.970323086|0.9997677
D1|This allows a ten percent deduction for the amount by which the second year's earned income|||-0.731892347|0.99556893
D1|The revenue estimate is for increasing the child credit for children under age from $500, to $1,000, beginning in 1999.|||-0.982331932|1.44E-05
|||||
D0|Marriage Penalties and Bonuses, and Stay-At-Home Parents|||0.995136797|6.83E-05
|||||
D0|Overview|||0.999616742|0.9815099
|||||
D0|â€¢ These are overlapping, but distinct, issues.|||-0.501633108|0.97682774
D0|Marriage penalties and bonuses affect most married couples as well as many currently urunarried individuals.|||-0.871653438|0.000467578
D0|The tax treatment of marriage is a very broad issue.|||-0.993027627|0.83351505
|||||
D0|The concern about the child care costs of stay-at-home parents is a narrower issue of primary concern to couples with young children.|||0.840753078|0.003572522
|||||
D0|â€¢ This memo has three sections: The first describes marriage penalties, why they arise, and provides examples.|||0.985113382|0.6273077
D0|The second describes and analyses options for reducing marriage penalties.|||0.980400324|0.009835882
D0|The third describes and analyses a few additional options specifically aimed at stayÂ­ at-home parents.|||0.808936238|0.15527874
|||||
D0|I. What Are Marriage Penalties?|||-0.973872781|0.15003589
|||||
D0|A couple that owes more income tax by filing a joint return than they would pay if they were unmarried and each filed separate returns has a marriage penalty.|||-0.996610343|0.7286371
|||||
D0|Conversely, a couple that owes less income tax by filing a joint return than they would pay if they were unmarried and each filed separate returns has a marriage bonus.|||0.512634516|0.96910053
|||||
D0|In general, couples with a stay-at-home spouse receive marriage bonuses, whereas twoÂ­ earner couples in which spouses have similar earnings face marriage penalties.|||-0.672950745|1.91E-05
|||||
D0|Why Do Marriage Penalties and Bonuses Arise?|||-0.917161644|0.14091836
|||||
D0|â—¦ Marriage penalties and bonuses generally arise because the standard deduction and rate brackets for joint filers are less than twice the corresponding amounts for single filers.|||-0.896256149|0.9999801
|||||
D0|For couples with children, marriage penalties may arise because a spouse could file as a head of household ifthe couple were not married.|||-0.920281291|1.10E-06
|||||
D0|The head of household standard deduction and rates are more generous than corresponding amounts for single filers.|||0.997289538|0.9998946
|||||
D0|â€¢ Marriage penalties and bonuses also arise because of other tax provisions, such as the EITC, the taxation of Social Security benefits, and the AMT exemption for which the parameters for joint filers are less than twice the corresponding amounts for single filers.|||-0.830246985|0.99971217
|||||
D0|Examples|||0.976599872|0.7738601
|||||
D0|â€¢ Consider four couples, each with $60,000 of earnings (and no other income).|||-0.896519065|0.023284554
D0|Couples A and B have no children, Couples C and D each have one child.|||0.954044819|0.000102535
D0|Couples A and C have two earners, each with $30,000 of earnings.|||-0.511452675|0.014737495
D0|Couples B and D have one earner with $60,000 of earnings.|||-0.985109448|0.040606
|||||
D0|â€¢ The details of the tax computations for these couples are shown in the attachment.|||0.869218946|0.98545814
|||||
D0|â€¢ In summary, here is what the examples show: Two-earner Couples A and C have marriage penalties, whereas one-earner couples B and D have marriage bonuses.|||-0.827447832|0.9316476
D0|The marriage penalties and bonuses for the couples with a child are smaller than for the couples without a child.|||-0.998449087|8.14E-05
D0|However, this would not be true in all circumstances.|||-0.989247501|0.008198008
D0|Having a child reduces Couple C's and D's tax liability significantly relative to Couples A and B, because of the additional exemption for the child, the child credit, and (for Couple C) the child and dependent care tax credit (CDCTC).|||0.996678352|1.74E-09
|||||
D0|How Large Are Aggregate Marriage Penalties and Bonuses?|||-0.984362125|0.24869487
|||||
D0|â€¢ There are approximately $30 billion per year of marriage penalties and $34 billion per year of marriage bonuses according to a recent CBO study.|||-0.564843953|0.99315566
|||||
D0|â€¢ More taxpayers have bonuses than penalties, with marriage boriuses predominating for low income families, and marriage penalties predominating for high income families, especially when there are two high earners.|||0.622712433|0.84449995
|||||
D1|II. Options for Addressing Marriage Penalties|||0.889546633|0.10822661
|||||
D1|Five options for addressing marriage penalties have been discussed: a single filer option, an income splitting option, making joint tax parameters double single parameters, a two-earner deduction, and a targeted two-earner deduction or credit.|1||-0.929770529|0.99843353
|||||
D1|â—¦ Treasury is doing more analytical work on these options.|1||-0.986228108|0.9924661
|||||
D1|Single Filer Option (H.R. 2456 with 2 I 8 cosponsors)|||0.972079396|0.9140018
|||||
D1|â—¦ Under this option, a married couple could continue to file a joint tax return, or could elect to file two separate returns, as if each were an unmarried individual.|||-0.902134418|1.02E-06
|||||
